City,x
Rockdale,97.00
Rockingham,392.00
Rockland,170.00
Rockwall,29.00
Roger Mills,5.00
Rogers,364.00
Rolette,5.00
Rooks,1.00
Roosevelt,35.00
Roscommon,16.00
Roseau,4.00
Rosebud,5.00
Ross,47.00
Routt,11.00
Rowan,395.00
Runnels,15.00
Rush,8.00
Rusk,155.00
Russell,258.00
Rutherford,322.00
Rutland,27.00
Sabine,61.00
Sac,3.00
Sacramento,10070.00
Sagadahoc,7.00
Saginaw,1387.00
Saguache,17.00
Salem,109.00
Saline,198.00
Salt Lake,1628.00
Saluda,55.00
Sampson,195.00
San Augustine,31.00
San Benito,75.00
San Bernardino,12742.00
San Diego,20807.00
San Francisco,14455.00
San Jacinto,47.00
San Joaquin,5277.00
San Juan,250.00
San Luis Obispo,267.00
San Mateo,1214.00
San Miguel,55.00
San Patricio,120.00
San Saba,23.00
Sanborn,1.00
Sanders,11.00
Sandoval,68.00
Sandusky,37.00
Sangamon,190.00
Sanilac,29.00
Sanpete,9.00
Santa Barbara,499.00
Santa Clara,4647.00
Santa Cruz,497.00
Santa Fe,1491.00
Santa Rosa,27793.00
Sarasota,97478.00
Saratoga,64.00
Sargent,1.00
Sarpy,50.00
Sauk,31.00
Saunders,11.00
Sawyer,22.00
Schenectady,196.00
Schleicher,3.00
Schley,4.00
Schoharie,12.00
Schoolcraft,7.00
Schuyler,18.00
Schuylkill,118.00
Scioto,132.00
Scotland,179.00
Scott,478.00
Scotts Bluff,28.00
Screven,23.00
Scurry,31.00
Searcy,9.00
Sebastian,275.00
Sedgwick,1540.00
Seminole,113205.00
Seneca,41.00
Sequatchie,16.00
Sequoyah,99.00
Sevier,122.00
Seward,59.00
Shackelford,8.00
Shannon,7.00
Sharkey,3.00
Sharp,25.00
Shasta,358.00
Shawano,15.00
Shawnee,480.00
Sheboygan,37.00
Shelby,53423.00
Shenandoah,28.00
Sherburne,24.00
Sheridan,33.00
Sherman,16.00
Shiawassee,30.00
Shoshone,28.00
Sibley,1.00
Sierra,35.00
Silver Bow,30.00
Simpson,69.00
Sioux,9.00
Siskiyou,102.00
Sitka,3.00
Skagit,104.00
Skagway-Hoonah-Angoon,1.00
Skamania,21.00
Smith,673.00
Smyth,75.00
Snohomish,504.00
Snyder,19.00
Socorro,17.00
Solano,1197.00
Somerset,384.00
